S. no,Part,Link,Qty.,Cost,
1,SMD Tactile switches,https://www.lcsc.com/product-detail/C720477.html?lcsc_vid=EwNcAgVQT1NWVAEHE1RdAwICFlINAV1STwJeAgYEQwAxVlNeQ1NWV11eQlBWVzsOAxUeFF5JWBYZEEoBGA4JCwFIFA4DSA%3D%3D,10,$0.00,Included in PCB
2,White Click Wheel + Case + Center Button,https://ar.aliexpress.com/item/1005010414463958.html?spm=a2g0o.productlist.main.12.43264fceE3681f&aem_p4p_detail=2026071702430411650887511787680000661319&algo_pvid=8a94c164-613d-4e73-8bad-20aef1cfacc3&algo_exp_id=8a94c164-613d-4e73-8bad-20aef1cfacc3-11&pdp_ext_f=%7B%22order%22%3A%22123%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AED%21120.76%2163.10%21%21%21216.30%21113.01%21%4021413b0b17842813846227003e0e42%2112000052331730334%21sea%21AE%216546026290%21ABX%211%210%21n_tag%3A-29910%3Bd%3A8a094002%3Bm03_new_user%3A-29895&curPageLogUid=XYLC6iHSTEP6&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010414463958%7C_p_origin_prod%3A&search_p4p_id=2026071702430411650887511787680000661319_3,1,$17,
3,Connectors -  Click Wheel,https://www.lcsc.com/product-detail/C2889266.html,1,$0,Included in PCB
4,"2.4"" LCD Screen",https://eu.mouser.com/en/ProductDetail/Microtips-Technology/MTD0240PZG?qs=EU6FO9ffTweWddz2VS6TQQ%3D%3D,1,$7,
5,Headphone Jack,https://www.lcsc.com/product-detail/C4991872.html?s_z=s_p_SJ-3523-SMT-TR&lcsc_vid=T1QPA1JQRFhZAwAHFlkPUQUEQVdcAgcCEgNcVVcCElYxVlNeQ1JYU1ZXR1JdVTsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,1,$0,Included in PCB
6,Audio DAC,https://www.lcsc.com/product-detail/C1520792.html?s_z=n_q_PCM5102A&lcsc_vid=T1QPA1JQRFhZAwAHFlkPUQUEQVdcAgcCEgNcVVcCElYxVlNeQ1JYVFJRQFdWXzsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktfRFFADxALGw%3D%3D,1,$0,Included in PCB
7,Headphone Amplifier,https://www.lcsc.com/product-detail/C69901.html?s_z=n_q_l_tpa6132a2&lcsc_vid=T1QPA1JQRFhZAwAHFlkPUQUEQVdcAgcCEgNcVVcCElYxVlNeQ1JYU1RVQFldUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRVFYVFZIHxUDCw%3D%3D,1,$0,Included in PCB
8,SD Card Connector,https://www.lcsc.com/product-detail/C266603.html?s_z=n_q_sd%2520card%2520connector&lcsc_vid=T1QPA1JQRFhZAwAHFlkPUQUEQVdcAgcCEgNcVVcCElYxVlNeQ1JYU1xeT1BeUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slQFReVlRQQU8GEwkK,1,$0,Included in PCB
9,Seeed Studio nRF52840,https://www.seeedstudio.com/Seeed-XIAO-BLE-nRF52840-p-5201.html,1,$10,
10,2000 mAH Lipo Battery,"https://www.amazon.ae/KBT-KEEP-BETTER-TECH-Li-Polymer/dp/B09SV3CJBY/ref=sr_1_18?crid=2FJIUR03O6XB2&dib=eyJ2IjoiMSJ9.bSX1ZnR1G-f1voL2Yt1enitAx-s-K4rBc-ujjLJpbwNWgXOCdm2EiSeVOzg3152poS51zSFX3ZCi8Bjd-eaIaOX5JQJ2HA8OrOIm3tPUA10x_iqbzWh_WPGOak3AbV55qyOON-MdpaS8kb5obR9TmUiWtHKSd1mI2o3nZmfxiJ0l0LMng3lv6dbZVuvntB4-DnkPs9OflIzBUIy4_nekTO4BAiBETTNQRmfTb3qY_ntuFfpF0ZZt9_iaODjEcQWXIL9imDoE5QPzaGr8k_TgZYAlVMctApM7o-Jjw9R4GS4.dVGVPsGo0GHtMaNtAm5uSeg2pixjL1Hh9xgbZpw7G30&dib_tag=se&keywords=2000mah+lipo+battery&qid=1784375029&sprefix=2000mah+lip,aps,299&sr=8-18&th=1",1,$37.03,
11,MICROCHIP MCP23017-E/ML,https://www.lcsc.com/product-detail/C639770.html?s_z=n_q_MCP23017&lcsc_vid=T1QPA1JQRFhZAwAHFlkPUQUEQVdcAgcCEgNcVVcCElYxVlNeQ1JZUlVfT1NXXzsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktRQlZADxALGw%3D%3D,1,$0,Included in PCB
12,PCB (JLCPCB),,5,$73.44,
,Total,,,$144.47,
